                               Labor Force Data by County, 2010 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2010        25,749       23,481      2,268      8.8
CN0100300000000   01     003   Baldwin County, AL                                2010        83,551       75,283      8,268      9.9
CN0100500000000   01     005   Barbour County, AL                                2010        10,219        8,978      1,241     12.1
CN0100700000000   01     007   Bibb County, AL                                   2010         8,936        7,931      1,005     11.2
CN0100900000000   01     009   Blount County, AL                                 2010        24,928       22,509      2,419      9.7
CN0101100000000   01     011   Bullock County, AL                                2010         4,941        4,365        576     11.7
CN0101300000000   01     013   Butler County, AL                                 2010         9,252        8,015      1,237     13.4
CN0101500000000   01     015   Calhoun County, AL                                2010        51,577       45,798      5,779     11.2
CN0101700000000   01     017   Chambers County, AL                               2010        14,734       12,581      2,153     14.6
CN0101900000000   01     019   Cherokee County, AL                               2010        11,466       10,267      1,199     10.5
CN0102100000000   01     021   Chilton County, AL                                2010        19,474       17,502      1,972     10.1
CN0102300000000   01     023   Choctaw County, AL                                2010         4,857        4,225        632     13.0
CN0102500000000   01     025   Clarke County, AL                                 2010         9,088        7,316      1,772     19.5
CN0102700000000   01     027   Clay County, AL                                   2010         5,844        5,016        828     14.2
CN0102900000000   01     029   Cleburne County, AL                               2010         6,035        5,441        594      9.8
CN0103100000000   01     031   Coffee County, AL                                 2010        21,099       19,313      1,786      8.5
CN0103300000000   01     033   Colbert County, AL                                2010        24,229       21,499      2,730     11.3
CN0103500000000   01     035   Conecuh County, AL                                2010         4,982        4,140        842     16.9
CN0103700000000   01     037   Coosa County, AL                                  2010         4,648        3,946        702     15.1
CN0103900000000   01     039   Covington County, AL                              2010        16,428       14,753      1,675     10.2
CN0104100000000   01     041   Crenshaw County, AL                               2010         6,290        5,658        632     10.0
CN0104300000000   01     043   Cullman County, AL                                2010        35,983       32,272      3,711     10.3
CN0104500000000   01     045   Dale County, AL                                   2010        22,099       20,167      1,932      8.7
CN0104700000000   01     047   Dallas County, AL                                 2010        17,782       14,839      2,943     16.6
CN0104900000000   01     049   DeKalb County, AL                                 2010        30,918       27,084      3,834     12.4
CN0105100000000   01     051   Elmore County, AL                                 2010        36,732       33,435      3,297      9.0
CN0105300000000   01     053   Escambia County, AL                               2010        15,000       13,266      1,734     11.6
CN0105500000000   01     055   Etowah County, AL                                 2010        44,018       39,278      4,740     10.8
CN0105700000000   01     057   Fayette County, AL                                2010         6,827        5,955        872     12.8
CN0105900000000   01     059   Franklin County, AL                               2010        14,252       12,752      1,500     10.5
CN0106100000000   01     061   Geneva County, AL                                 2010        11,564       10,385      1,179     10.2
CN0106300000000   01     063   Greene County, AL                                 2010         3,302        2,741        561     17.0
CN0106500000000   01     065   Hale County, AL                                   2010         6,439        5,485        954     14.8
CN0106700000000   01     067   Henry County, AL                                  2010         7,265        6,483        782     10.8
CN0106900000000   01     069   Houston County, AL                                2010        46,463       42,261      4,202      9.0
CN0107100000000   01     071   Jackson County, AL                                2010        24,347       21,514      2,833     11.6
