                               Labor Force Data by County, 2015 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2015        25,541       24,206      1,335      5.2
CN0100300000000   01     003   Baldwin County, AL                                2015        87,493       82,619      4,874      5.6
CN0100500000000   01     005   Barbour County, AL                                2015         8,590        7,823        767      8.9
CN0100700000000   01     007   Bibb County, AL                                   2015         8,552        7,983        569      6.7
CN0100900000000   01     009   Blount County, AL                                 2015        24,416       23,089      1,327      5.4
CN0101100000000   01     011   Bullock County, AL                                2015         4,765        4,385        380      8.0
CN0101300000000   01     013   Butler County, AL                                 2015         9,113        8,417        696      7.6
CN0101500000000   01     015   Calhoun County, AL                                2015        45,808       42,566      3,242      7.1
CN0101700000000   01     017   Chambers County, AL                               2015        14,939       14,031        908      6.1
CN0101900000000   01     019   Cherokee County, AL                               2015        11,132       10,521        611      5.5
CN0102100000000   01     021   Chilton County, AL                                2015        19,089       18,005      1,084      5.7
CN0102300000000   01     023   Choctaw County, AL                                2015         4,369        3,969        400      9.2
CN0102500000000   01     025   Clarke County, AL                                 2015         7,976        7,036        940     11.8
CN0102700000000   01     027   Clay County, AL                                   2015         5,535        5,194        341      6.2
CN0102900000000   01     029   Cleburne County, AL                               2015         5,664        5,321        343      6.1
CN0103100000000   01     031   Coffee County, AL                                 2015        20,222       19,010      1,212      6.0
CN0103300000000   01     033   Colbert County, AL                                2015        23,550       21,673      1,877      8.0
CN0103500000000   01     035   Conecuh County, AL                                2015         4,671        4,238        433      9.3
CN0103700000000   01     037   Coosa County, AL                                  2015         4,416        4,119        297      6.7
CN0103900000000   01     039   Covington County, AL                              2015        15,422       14,314      1,108      7.2
CN0104100000000   01     041   Crenshaw County, AL                               2015         6,339        5,957        382      6.0
CN0104300000000   01     043   Cullman County, AL                                2015        36,296       34,376      1,920      5.3
CN0104500000000   01     045   Dale County, AL                                   2015        19,789       18,524      1,265      6.4
CN0104700000000   01     047   Dallas County, AL                                 2015        15,555       14,056      1,499      9.6
CN0104900000000   01     049   DeKalb County, AL                                 2015        28,700       26,949      1,751      6.1
CN0105100000000   01     051   Elmore County, AL                                 2015        36,655       34,803      1,852      5.1
CN0105300000000   01     053   Escambia County, AL                               2015        14,564       13,535      1,029      7.1
CN0105500000000   01     055   Etowah County, AL                                 2015        42,586       39,936      2,650      6.2
CN0105700000000   01     057   Fayette County, AL                                2015         6,406        5,954        452      7.1
CN0105900000000   01     059   Franklin County, AL                               2015        13,628       12,746        882      6.5
CN0106100000000   01     061   Geneva County, AL                                 2015        10,761       10,120        641      6.0
CN0106300000000   01     063   Greene County, AL                                 2015         2,872        2,552        320     11.1
CN0106500000000   01     065   Hale County, AL                                   2015         6,034        5,562        472      7.8
CN0106700000000   01     067   Henry County, AL                                  2015         6,702        6,243        459      6.8
CN0106900000000   01     069   Houston County, AL                                2015        44,440       41,655      2,785      6.3
CN0107100000000   01     071   Jackson County, AL                                2015        23,407       21,840      1,567      6.7
CN0107300000000   01     073   Jefferson County, AL                              2015       310,158      292,165     17,993      5.8
