fips,state,year,month,population,unemployment,date,code,minwage,fedminwage,cpi,change,gdp
1,alabama,1976,1,2605000.0,6.6,1976-01-01,AL,0.0,10.0,56.9,0.0,
2,alaska,1976,1,232000.0,7.1,1976-01-01,AK,12.73,10.0,56.9,2.630000000000001,
4,arizona,1976,1,1621000.0,10.2,1976-01-01,AZ,0.0,10.0,56.9,-2.25,
5,arkansas,1976,1,1536000.0,7.3,1976-01-01,AR,8.64,10.0,56.9,2.870000000000001,
6,california,1976,1,15621000.0,9.2,1976-01-01,CA,9.09,10.0,56.9,1.16,
37,los angeles county,1976,1,5273000.0,8.9,1976-01-01,,,,,,
8,colorado,1976,1,1832000.0,5.8,1976-01-01,CO,4.55,10.0,56.9,-0.2599999999999998,
9,connecticut,1976,1,2248000.0,9.8,1976-01-01,CT,10.05,10.0,56.9,1.16,
10,delaware,1976,1,417000.0,8.0,1976-01-01,DE,9.09,10.0,56.9,1.3999999999999997,
11,district of columbia,1976,1,520000.0,8.7,1976-01-01,DC,10.23,10.0,56.9,2.54,
12,florida,1976,1,6421000.0,9.7,1976-01-01,FL,0.0,10.0,56.9,0.0,
13,georgia,1976,1,3522000.0,8.4,1976-01-01,GA,5.68,10.0,56.9,-0.33,
15,hawaii,1976,1,583000.0,9.8,1976-01-01,HI,10.91,10.0,56.9,3.22,
16,idaho,1976,1,580000.0,5.6,1976-01-01,ID,7.27,10.0,56.9,0.5399999999999991,
17,illinois,1976,1,8127000.0,6.6,1976-01-01,IL,9.55,10.0,56.9,2.8200000000000003,
18,indiana,1976,1,3789000.0,6.6,1976-01-01,IN,5.68,10.0,56.9,-0.33,
19,iowa,1976,1,2066000.0,4.3,1976-01-01,IA,0.0,10.0,56.9,0.0,
20,kansas,1976,1,1635000.0,4.2,1976-01-01,KS,0.0,10.0,56.9,0.0,
21,kentucky,1976,1,2459000.0,5.6,1976-01-01,KY,7.27,10.0,56.9,4.14,
22,louisiana,1976,1,2672000.0,6.3,1976-01-01,LA,0.0,10.0,56.9,0.0,
23,maine,1976,1,764000.0,8.7,1976-01-01,ME,10.46,10.0,56.9,3.73,
24,maryland,1976,1,2954000.0,6.4,1976-01-01,MD,10.0,10.0,56.9,2.31,
25,massachusetts,1976,1,4194000.0,10.5,1976-01-01,MA,9.55,10.0,56.9,1.1400000000000006,
26,michigan,1976,1,6417000.0,9.9,1976-01-01,MI,10.0,10.0,56.9,2.31,
27,minnesota,1976,1,2788000.0,6.0,1976-01-01,MN,8.18,10.0,56.9,4.57,
28,mississippi,1976,1,1640000.0,6.7,1976-01-01,MS,0.0,10.0,56.9,0.0,
29,missouri,1976,1,3464000.0,5.9,1976-01-01,MO,0.0,10.0,56.9,0.0,
30,montana,1976,1,531000.0,5.8,1976-01-01,MT,8.18,10.0,56.9,0.4899999999999993,
31,nebraska,1976,1,1095000.0,3.3,1976-01-01,NE,7.27,10.0,56.9,2.46,
32,nevada,1976,1,451000.0,9.2,1976-01-01,NV,10.0,10.0,56.9,2.31,
33,new hampshire,1976,1,593000.0,6.5,1976-01-01,NH,10.0,10.0,56.9,2.31,
34,new jersey,1976,1,5358000.0,10.3,1976-01-01,NJ,10.0,10.0,56.9,2.79,
35,new mexico,1976,1,792000.0,8.6,1976-01-01,NM,9.09,10.0,56.9,2.84,
36,new york,1976,1,13196000.0,10.3,1976-01-01,NY,10.46,10.0,56.9,1.5700000000000005,
51000,new york city,1976,1,5694000.0,11.2,1976-01-01,,,,,,
37,north carolina,1976,1,3898000.0,6.4,1976-01-01,NC,9.09,10.0,56.9,2.12,
